@id,address,address_en,coordinates_lat,coordinates_lon,name,name_en,website,workingHours,municipality
6058582666,Методија Андонов Ченто,Metodija Andonov Chento,42.011324,21.5104508,Кипер маркет,Kipper Market,http://kipper.mk/mk/,Mo-Sa 07:00-22:00,5
6145381754,Никола Парапунов,Nikola Parapunov,42.0067318,21.3818169,Тинекс,Tinex,http://www.tinex.com.mk/,Mo-Sa 08:00-22:00,7
6277485880,Бутелска,Butelska,42.03101,21.4445186,Рептил,Reptil,http://reptilmarketi.mk/,Mo-Sa 07:00-21:00,8
6281683651,Борис Сарафов,Boris Sarafov,42.0078991,21.3340183,Кипер маркет,Kipper Market,/,Mo-Sa 07:00-22:00,2
6405264386,Булевар Авној,Boulevard Avnoj,41.9898103,21.4691912,М маркет,M Market,/,Mo-Sa 07:00-21:30,3
6814246717,Булевар Крсте Петков Мисирков,Boulevard Krste Petkov Misirkov,42.0010275,21.4396745,Dm,DM,https://www.dm.mk/,/,1
6821158390,Св. Кирил и Методиј,St. Kiril i Metodij,41.992184,21.4277103,Здрава храна зегин,Healty Food Zegin,/,/,1
6827074190,Дебарца,Debarca,41.9994318,21.4213409,Стокомак,Stokomak,https://www.facebook.com/stokomak.diskont/,Mo-Sa 07:30-21:30,1
6827074191,Булевар Партизански Одреди,Boulevard Partizanski Odredi,41.9989821,21.4224806,Swisslion,Swisslion,http://swisslion.com.mk/,Mo-Sa 08:00-20:00,1
6830542485,11-ти Октомври,11 Oktomvri,41.9910788,21.4346069,Стокомак,Stokomak,/,Mo-Sa 08:00-22:00,1
6913220785,Валандовска,Valandovska,41.9954171,21.5098008,Стокомак,Stokomak,/,Mo-Sa 08:00-21:30,5
7827651855,Тодор Чангов,Todor Changov,41.976006,21.4815508,Бобико тп колонијал,Bobiko TP Kolonijal,/,Mo-Su 07:00-22:00,3
7846557942,Бутелска,Butelska,42.0364195,21.4464861,Стокомак,Stokomak,/,Mo-Sa 07:30-21:30,8
7846569770,Бутелска,Butelska,42.0372124,21.4458128,Жито маркет,Zito Market,http://zito.com.mk/,Mo-Sa 07:30-21:30,8
8124609017,Вапчор,Vapchor,42.0036961,21.4672422,Кит-го,Kit Go,https://www.kitgo.mk/,Mo-Sa 07:30-22:00,5
8492059617,Прашка,Prashka,41.9980345,21.3981423,Рамстор,Ramstore,http://www.ramstore.com.mk/,Mo-Sa 08:00-22:00,7
8646562196,Орце Николов,Orce Nikolov,42.0054049,21.4097719,La noi,La noi,/,Mo-Sa 07:30-21:30,7
8868776220,Вењамин Мачуковски,Venjamin Machukovski,41.9855334,21.4485408,Кам маркет,Kam Market,http://kam.com.mk/,Mo-Sa 07:30-22:00,3
9120586796,Методија Андонов Ченто,Metodija Andonov Chento,42.0069756,21.5031425,С маркет,S Market,http://www.smarket.com.mk/,Mo-Sa 07:00-23:00,5
9200216059,Ленинова,Leninova,41.9974123,21.4222398,Рептил,Reptil,/,/,1
9200216060,Васил Стефановски,Vasil Stefanovski,41.9959161,21.4180198,Степ,Step,/,Mo-Sa 07:00-22:00,1
9200216555,Христо Смирненски,Hristo Smirnenski,41.9983774,21.415282,Зур,Zur,http://www.zurmarket.com.mk/,Mo-Sa 07:30-22:00,1
9244180287,Васко Каранѓелески,Vasko Karangjeleski,41.9843604,21.4589135,Кам маркет,Kam Market,www.kam.com.mk,Mo-Su 08:00-22:00,3
9244195697,Вангел Тодоровски,Vangjel Todorovski,41.984756,21.4555933,Стокомак,Stokomak,https://www.facebook.com/stokomak.diskont/,Mo-Su 07:30-21:00,3
9244235991,Фрањо Клуз,Franjo Kluz,41.9847803,21.4510086,Рамстор,Ramstore,http://ramstore.com.mk/,Mo-Sa 08:00-22:00,3
9244250664,Коста Новаковиќ,Kosta Novakovikj,41.9828854,21.4556365,Зур,Zur Market,http://zurmarket.mk/,Mo-Sa 07:30-22:00,3
9244268507,Симеон Кавракиров,Simeon Kavrakirov,41.9888605,21.4483803,Стокомак,Stokomak,https://www.facebook.com/stokomak.diskont/,Mo-Sa 07:30-21:30,3
9244283951,Булевар Јане Сандански,Boulevard Jane Sandanski,41.9887772,21.461333,Тинекс,Tinex,http://www.tinex.com.mk/,Mo-Sa 08:00-21:30,3
